id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
567567,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260387,1.925466
568233,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.264303,1.913552
568245,1,5,5,5,0,5,5,5,0,1.6,1.6,1.6,0,652.1,652.1,652.1,0,4,17,2.96,1139.9,5,7,2.56,1823.84,1823.84,2.56,2.56,1299372.01,25,3326392.346,3326392.346,9119.2,9119.2,3326392.346,2,5,1.420031,1.164685
568289,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.259778,0.722908
568301,1,6,6,6,0,15,15,15,0,2.02,2,2.02,0,703,703,703,0,4,17,2.96,1139.9,5,7,4.0804,2302.598,2302.598,4.0804,4.0804,1299372.01,36,5301957.55,5301957.55,13815.588,13815.588,5301957.55,2,5,2.930389,2.135398
568394,1,5,5,5,0,6,6,6,0,2.16,2,2.16,0,684.3,684.3,684.3,0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.518,7304003.518,13512.96,13512.96,7304003.518,2,5,0.11456,6.36715
568690,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,4,17,2.96,1139.9,12,7,2.8561,1926.431,1926.431,2.8561,2.8561,1299372.01,25,3711136.398,3711136.398,9632.155,9632.155,3711136.398,2,5,3.097991,10.284308
568722,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,4,17,2.96,1139.9,12,7,2.8561,1926.431,1926.431,2.8561,2.8561,1299372.01,25,3711136.398,3711136.398,9632.155,9632.155,3711136.398,2,5,3.096576,3.661387
569005,1,5,5,5,0,6,6,6,0,2.16,2,2.16,0,684.3,684.3,684.3,0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.518,7304003.518,13512.96,13512.96,7304003.518,2,5,0.352787,3.795777
569175,1,5,5,5,0,4,4,4,0,1.33,1.33,1.33,0,640.1,640.1,640.1,0,3,17,3.16,1251.2,4,7,1.7689,1664.096,1664.096,1.7689,1.7689,1565501.44,25,2769215.497,2769215.497,8320.48,8320.48,2769215.497,2,5,3.371048,1.110093
569436,1,5,5,5,0,6,6,6,0,2.16,2,2.16,0,684.3,684.3,684.3,0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.518,7304003.518,13512.96,13512.96,7304003.518,2,5,0.00546,3.063942
569578,1,5,5,5,0,5,5,5,0,1.6,1.6,1.6,0,652.1,652.1,652.1,0,5,17,2.66,1008.4,5,7,2.56,1613.44,1613.44,2.56,2.56,1016870.56,25,2603188.634,2603188.634,8067.2,8067.2,2603188.634,2,5,0.649785,0.695086
569715,1,6,3,4,0.666667,16,15,15.666667,0.222222,2.55,2,2.411111,0.040721,1011.8,703,930.288889,7292.969877,4,11,1.9,745.5,5,11,6.14833305,1901.025,1797.483251,6.5025,5.813456254,555770.25,9,3613896.051,3230946.036,5703.075,5392.449752,3417060.596,2,5,0.858676,0.903956
569756,1,4,4,4,0,4,4,4,0,1.54,1.54,1.54,0,658.8,658.8,658.8,0,3,17,3.16,1251.2,4,7,2.3716,1926.848,1926.848,2.3716,2.3716,1565501.44,16,3712743.215,3712743.215,7707.392,7707.392,3712743.215,2,5,0.77433,3.285073
569890,1,4,4,4,0,6,6,6,0,1.66,1.66,1.66,0,652.9,652.9,652.9,0,3,17,3.16,1251.2,6,7,2.7556,2076.992,2076.992,2.7556,2.7556,1565501.44,16,4313895.768,4313895.768,8307.968,8307.968,4313895.768,2,5,0.129171,5.876808
