,id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
50,541013,1,4,4,4.0,0.0,4,4,4.0,0.0,1.54,1.54,1.54,0.0,658.8,658.8,658.8,0.0,5,17,2.66,1008.4,4,7,2.3716,1552.9360000000001,1552.9360000000001,2.3716,2.3716,1016870.56,16,2411610.22,2411610.22,6211.744000000001,6211.744000000001,2411610.22,0.0,1.07607326,1.155723,0.493947
51,541610,1,4,4,4.0,0.0,14,14,14.0,0.0,2.01,2.0,2.01,0.0,762.0,762.0,762.0,0.0,4,17,2.96,1139.9,4,7,4.0401,2291.199,2291.199,4.0401,4.0401,1299372.01,16,5249592.858,5249592.858,9164.796,9164.796,5249592.858,0.0,2.21312076,2.167238,1.1811719999999999
52,543096,1,4,4,4.0,0.0,10,10,10.0,0.0,1.91,1.91,1.91,0.0,737.1,737.1,737.1,0.0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.182999999,6297836.182999999,10038.196,10038.196,6297836.182999999,1.0,0.0,1.645843,2.563102
53,567259,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.260823,1.925466
54,567296,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.2614549999999998,1.92176
55,567336,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.260332,1.9170369999999999
56,567359,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.260375,1.917287
57,567402,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.260901,1.9186189999999999
58,567442,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.261244,1.9220110000000001
59,567483,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.260401,1.9215099999999998
